audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-16_2324_152,0.09,NA,L,NA,NA,NA,NA,NA,NA,FM calls only. This is a 2 bat situation. However one bat enters the cave and exits immediately. Hence calls not present.,
matching_annotaudio_Aditya_2018-08-16_2324_153,0.7,NA,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_154,0.69,0.552,L,50,0.11,0.147,35.13,0.18,0.184,,
matching_annotaudio_Aditya_2018-08-16_2324_156,0.06,0.0408,R,45,0.135,0.16,33.44,0.121,0.132,,
matching_annotaudio_Aditya_2018-08-16_2324_157,0.43,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_159,0.54,0.324,R,70,0.25,0.274,30.98,0.229,0.237,,
matching_annotaudio_Aditya_2018-08-16_2324_165,0.75,1.53,R,60,0.88,0.898,20.07,0.859,0.867,,
matching_annotaudio_Aditya_2018-08-16_2324_167,0.85,0.272,R,80,0.055,0.086,46.52,0.118,0.124,,
matching_annotaudio_Aditya_2018-08-16_2324_169,0.27,0.0864,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_171,0.19,0.19,R,65,0.616,0.639,20.52,0.607,0.613,,
matching_annotaudio_Aditya_2018-08-16_2324_172,0.75,NA,L,NA,NA,NA,NA,NA,NA,"One bat event. However, overlapping HSB calls of 100kHz and 80kHz towards the end.",
matching_annotaudio_Aditya_2018-08-16_2324_173,0.88,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_174,0.29,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_176,0.89,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_177,0.16,NA,L,NA,NA,NA,NA,NA,NA,"One bat event. However, overlapping HSB calls and FM calls towards the end.",
matching_annotaudio_Aditya_2018-08-16_2324_179,0.59,0.354,R,75,0.117,0.134,27.96,0.144,0.154,,
matching_annotaudio_Aditya_2018-08-16_2324_180,0.37,0.296,R,50,0.22,0.235,34.21,0.297,0.303,,
matching_annotaudio_Aditya_2018-08-16_2324_181,0.72,NA,L,NA,NA,NA,NA,NA,NA,"One bat event. However, overlapping HSB calls towards the end. Succeeding this is a 2 bat situation",
matching_annotaudio_Aditya_2018-08-16_2324_182,0.87,1.1484,R,80,0.416,0.438,20.69,0.474,0.479,,
matching_annotaudio_Aditya_2018-08-16_2324_183,0.93,0.7812,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_184,0.18,0.1224,R,80,0.157,0.181,43.2,0.149,0.154,,
matching_annotaudio_Aditya_2018-08-16_2324_185,0.18,0.0648,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_186,0.29,NA,L,NA,NA,NA,NA,NA,NA,There is one bat in the cave. However HSB calls at 80kHz and 100kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_187,0.26,NA,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_188,0.13,NA,R,NA,NA,NA,NA,NA,NA,HSB calls at 80kHz,
matching_annotaudio_Aditya_2018-08-16_2324_190,0.12,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation between HSB bats at 80kHz and 100Khz,
matching_annotaudio_Aditya_2018-08-16_2324_192,0.42,0.4536,R,70,0.548,0.566,21.7,0.596,0.598,,
matching_annotaudio_Aditya_2018-08-16_2324_193,0.46,0.46,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_195,0.3,NA,R,NA,NA,NA,NA,NA,NA,Overlapping HSB-FM call.,
matching_annotaudio_Aditya_2018-08-16_2324_196,0.25,1.21,L,70,0.662,0.678,20.75,0.684,0.688,,
matching_annotaudio_Aditya_2018-08-16_2324_197,0.13,0.052,R,50,0.145,0.16,36.18,0.136,0.142,,
matching_annotaudio_Aditya_2018-08-16_2324_198,0.31,0.6944,R,70,1,1.042,32.5,0.989,0.995,,
matching_annotaudio_Aditya_2018-08-16_2324_199,0.65,0.364,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_200,0.33,NA,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_202,0.66,2.8512,R,65,3.97,3.993,27.02,3.962,3.969,,
matching_annotaudio_Aditya_2018-08-16_2324_204,0.87,5.0808,L,45,2.103,2.124,29.29,2.14,2.154,,
matching_annotaudio_Aditya_2018-08-16_2324_207,0.37,0.4144,L,70,0.342,0.364,32.94,0.328,0.338,,
matching_annotaudio_Aditya_2018-08-16_2324_208,0.7,0.84,L,70,0.563,0.585,34.56,0.482,0.487,,
matching_annotaudio_Aditya_2018-08-16_2324_209,0.8,0.192,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_210,0.26,0.104,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_211,0.48,0.6912,L,45,0.451,0.477,33.17,0.43,0.445,,
matching_annotaudio_Aditya_2018-08-16_2324_212,0.88,1.1616,R,80,0.932,0.979,32.21,0.916,0.929,,
matching_annotaudio_Aditya_2018-08-16_2324_214,0.87,1.4616,L,50,0.057,0.094,32.74,0.104,0.114,,
matching_annotaudio_Aditya_2018-08-16_2324_215,0.28,0.448,L,50,0.017,0.054,32.8,0.077,0.09,,
matching_annotaudio_Aditya_2018-08-16_2324_216,0.8,0.128,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_217,0.65,NA,R,NA,NA,NA,NA,NA,NA,Error in video annotation- duplicate annotation.,
matching_annotaudio_Aditya_2018-08-16_2324_218,0.04,0.0256,L,40,0.584,0.605,32.54,0.262,0.27,,
matching_annotaudio_Aditya_2018-08-16_2324_219,0.04,0.0288,R,45,0.404,0.433,33.31,0.49,0.493,,
matching_annotaudio_Aditya_2018-08-16_2324_220,0.6,0.36,L,NA,NA,NA,NA,NA,NA,Duplicate Annotation,
matching_annotaudio_Aditya_2018-08-16_2324_221,0.85,NA,L,NA,NA,NA,NA,NA,NA,Duplicate Annotation,
matching_annotaudio_Aditya_2018-08-16_2324_223,0.77,0.7392,R,55,0.302,0.326,41.82,0.571,0.575,,
matching_annotaudio_Aditya_2018-08-16_2324_224,0.56,NA,R,NA,NA,NA,NA,NA,NA,HSB calls at 100kHz and 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_225,0.46,NA,L,NA,NA,NA,NA,NA,NA,Duplicate Annotation,
matching_annotaudio_Aditya_2018-08-16_2324_226,0.18,0.1944,R,NA,NA,NA,NA,NA,NA,HSB calls at 100khz and faint calls at 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_227,0.42,NA,R,NA,NA,NA,NA,NA,NA,Duplicate Annotation,
matching_annotaudio_Aditya_2018-08-16_2324_228,0.72,0.8928,R,NA,NA,NA,NA,NA,NA,No clear call,
